UID,Account Type,Currency,Side,Amount,Fee,Time(UTC-04:00),Remark,Type
****0219,mainAccount,FLAME,Withdrawal,13.4283,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,3.692167632468,0.007399133532,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,13.1302,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,1.201212866786,0.002407240214,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,24.6316,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,70.3206,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,985.4044416,1.9747584,2023-12-28 16:39:16,,Spot
****0219,mainAccount,USDT,Deposit,846.8781328332,1.6971505668,2023-12-28 16:39:16,,Spot
****0219,mainAccount,USDT,Deposit,985.4044416,1.9747584,2023-12-28 16:39:16,,Spot
****0219,mainAccount,USDT,Deposit,1080.288111465,2.164906035,2023-12-28 16:39:16,,Spot
****0219,mainAccount,PYR,Withdrawal,140.325,0,2023-12-28 16:39:16,,Spot
****0219,mainAccount,PYR,Withdrawal,128,0,2023-12-28 16:39:16,,Spot
****0219,mainAccount,PYR,Withdrawal,110.006,0,2023-12-28 16:39:16,,Spot
****0219,mainAccount,PYR,Withdrawal,128,0,2023-12-28 16:39:16,,Spot
****0219,mainAccount,USDT,Deposit,433.2122768745,0.8681608755,2023-12-28 16:39:18,,Spot
****0219,mainAccount,PYR,Withdrawal,56.2725,0,2023-12-28 16:39:18,,Spot
****0219,mainAccount,USDT,Deposit,5.3453241775,0.0107120725,2023-12-28 16:39:37,,Spot
****0219,mainAccount,IOI,Withdrawal,161.375,0,2023-12-28 16:39:37,,Spot
****0219,mainAccount,IOI,Withdrawal,126.6083,0,2023-12-28 16:39:37,,Spot
****0219,mainAccount,IOI,Withdrawal,45.0549,0,2023-12-28 16:39:37,,Spot
****0219,mainAccount,IOI,Withdrawal,4.6275,0,2023-12-28 16:39:37,,Spot
****0219,mainAccount,IOI,Withdrawal,82.8376,0,2023-12-28 16:39:37,,Spot
****0219,mainAccount,USDT,Deposit,0.1534180989,0.0003074511,2023-12-28 16:39:37,,Spot
****0219,mainAccount,USDT,Deposit,4.200042972216,0.008416919784,2023-12-28 16:39:37,,Spot
****0219,mainAccount,USDT,Deposit,2.74470790336,0.00550041664,2023-12-28 16:39:37,,Spot
****0219,mainAccount,USDT,Deposit,1.491931738836,0.002989843164,2023-12-28 16:39:37,,Spot
****0219,mainAccount,USDT,Deposit,0.977037482054,0.001957990946,2023-12-28 16:39:37,,Spot
****0219,mainAccount,IOI,Withdrawal,29.4967,0,2023-12-28 16:39:37,,Spot
****0219,mainAccount,PYR,Withdrawal,28.947,0,2023-12-28 16:39:58,,Spot
****0219,mainAccount,USDT,Deposit,222.8476747734,0.4465885266,2023-12-28 16:39:58,,Spot
****0219,mainAccount,USDT,Deposit,115.477083,0.231417,2023-12-28 16:39:58,,Spot
****0219,mainAccount,PYR,Withdrawal,14.4735,0,2023-12-28 16:39:58,,Spot
****0219,mainAccount,USDT,Deposit,111.4238373867,0.2232942633,2023-12-28 16:39:58,,Spot
****0219,mainAccount,PYR,Withdrawal,15,0,2023-12-28 16:39:58,,Spot
****0219,mainAccount,USDT,Deposit,450.97981460646,0.90376716354,2023-12-28 16:45:19,,Spot
****0219,mainAccount,NAKA,Withdrawal,240.0495,0,2023-12-28 16:45:19,,Spot
****0219,mainAccount,USDT,Deposit,346.759768651984,0.694909356016,2023-12-28 16:49:41,,Spot
****0219,mainAccount,NAKA,Withdrawal,184.5748,0,2023-12-28 16:49:41,,Spot
****0219,mainAccount,NAKA,Withdrawal,9.491,0,2023-12-28 16:49:42,,Spot
****0219,mainAccount,USDT,Deposit,17.83069500428,0.03573285572,2023-12-28 16:49:42,,Spot
****0219,mainAccount,USDT,Deposit,130.812786942368,0.262149873632,2023-12-28 16:49:57,,Spot
****0219,mainAccount,NAKA,Withdrawal,69.6296,0,2023-12-28 16:49:57,,Spot
****0219,mainAccount,NAKA,Withdrawal,106.9533,0,2023-12-28 16:50:45,,Spot
****0219,mainAccount,USDT,Deposit,200.932638499764,0.402670618236,2023-12-28 16:50:45,,Spot
****0219,mainAccount,NAKA,Withdrawal,48.58,0,2023-12-28 16:51:43,,Spot
****0219,mainAccount,USDT,Deposit,91.2670069864,0.1828998136,2023-12-28 16:51:43,,Spot
****0219,mainAccount,USDT,Deposit,632.849146259956,1.268234762044,2023-12-28 16:52:16,,Spot
****0219,mainAccount,NAKA,Withdrawal,336.8557,0,2023-12-28 16:52:16,,Spot
****0219,mainAccount,UOS,Withdrawal,887.6899,0,2023-12-28 17:02:34,,Spot
****0219,mainAccount,USDT,Deposit,184.13733302357,0.36901269143,2023-12-28 17:02:34,,Spot
****0219,mainAccount,UOS,Withdrawal,2372.9726,0,2023-12-28 17:04:30,,Spot
****0219,mainAccount,USDT,Deposit,492.23591020018,0.98644470982,2023-12-28 17:04:30,,Spot
****0219,mainAccount,USDT,Deposit,82.29204873468,0.16491392532,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,32.0625,0,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,32.0625,0,2023-12-28 17:06:02,,Spot
****0219,mainAccount,USDT,Deposit,246.8322649125,0.4946538375,2023-12-28 17:06:02,,Spot
****0219,mainAccount,USDT,Deposit,246.8322649125,0.4946538375,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,32.0625,0,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,32.0625,0,2023-12-28 17:06:02,,Spot
****0219,mainAccount,USDT,Deposit,246.8322649125,0.4946538375,2023-12-28 17:06:02,,Spot
****0219,mainAccount,USDT,Deposit,246.8322649125,0.4946538375,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,32.0625,0,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,32.0625,0,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,32.0625,0,2023-12-28 17:06:02,,Spot
****0219,mainAccount,USDT,Deposit,246.8322649125,0.4946538375,2023-12-28 17:06:02,,Spot
****0219,mainAccount,USDT,Deposit,246.8322649125,0.4946538375,2023-12-28 17:06:02,,Spot
****0219,mainAccount,USDT,Deposit,246.8322649125,0.4946538375,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,10.6894,0,2023-12-28 17:06:02,,Spot
****0219,mainAccount,PYR,Withdrawal,10.5086,0,2023-12-28 17:06:06,,Spot
****0219,mainAccount,PYR,Withdrawal,5.2543,0,2023-12-28 17:06:06,,Spot
****0219,mainAccount,USDT,Deposit,27.04319314416,0.05419477584,2023-12-28 17:06:06,,Spot
****0219,mainAccount,PYR,Withdrawal,3.5128,0,2023-12-28 17:06:06,,Spot
****0219,mainAccount,USDT,Deposit,80.90016496092,0.16212457908,2023-12-28 17:06:06,,Spot
****0219,mainAccount,USDT,Deposit,40.45008248046,0.08106228954,2023-12-28 17:06:06,,Spot
****0219,mainAccount,USDT,Deposit,13.52159657208,0.02709738792,2023-12-28 17:06:06,,Spot
