UID,Account Type,Order ID,Order Time(UTC-04:00),Symbol,Side,Order Type,Order Price,Order Amount,Avg. Filled Price,Filled Amount,Filled Volume,Filled Volume (USDT),Filled Time(UTC-04:00),Fee,Fee Currency,Tax,Status
****0219,mainAccount,61aafa9614f46c00012af46b,2021-12-04 01:20:22,PYR-USDT,BUY,LIMIT,28.0,70.0,28.0,70.0,1960.0,,2021-12-04 01:34:08,3.92,USDT,,deal
****0219,mainAccount,61aafb6b0cfe83000177350a,2021-12-04 01:23:55,PYR-USDT,BUY,LIMIT,26.0,50.0,26.0,50.0,1300.0,,2021-12-04 01:32:54,2.6,USDT,,deal
****0219,mainAccount,61aafbd55cd48000013e4e91,2021-12-04 01:25:41,PYR-USDT,BUY,LIMIT,24.0,90.0465,24.0,90.0465,2161.116,,2021-12-04 01:34:25,4.322232,USDT,,deal
****0219,mainAccount,61aafc3a14f46c000139eb1b,2021-12-04 01:27:22,PYR-USDT,BUY,MARKET,0.0,0.0,19.0,113.28895263,2152.49009997,,2021-12-04 01:28:48,4.30498019994,USDT,,part_deal
****0219,mainAccount,61ab0278ee688b0001fd36ee,2021-12-04 01:54:00,PYR-USDT,BUY,LIMIT,21.0,28.6285,21.0,28.6285,601.1985,,2021-12-06 03:07:41,1.202397,USDT,,deal
****0219,mainAccount,61ab028af7a6ad000136cbdd,2021-12-04 01:54:18,PYR-USDT,BUY,LIMIT,18.0,33.2667,18.0,33.2667,598.8006,,2021-12-14 14:28:56,1.1976012,USDT,,deal
****0219,mainAccount,658ddae4b764da00074e8e7a,2023-12-28 16:30:28,PYR-USDT,SELL,LIMIT,7.7139,3949.9383,7.7139432063710975,3949.9383,30469.59971487,30469.59971487,2023-12-28 17:06:13,60.93919942974,USDT,,deal
****0219,mainAccount,658ddb1cb764da00074f48ff,2023-12-28 16:31:24,NAKA-USDT,SELL,LIMIT,1.88246,996.1339,1.88246,996.1339,1875.182221394,1875.182221394,2023-12-28 16:52:16,3.750364442788,USDT,,deal
****0219,mainAccount,658ddb430b9c4b0007a0ced5,2023-12-28 16:32:03,VRA-USDT,SELL,LIMIT,0.0075,173240.0,0.0075,173240.0,1299.3,1299.3,2023-12-28 16:32:25,1.2993,USDT,,deal
****0219,mainAccount,658ddb60e0e1ab00073b8359,2023-12-28 16:32:32,UOS-USDT,SELL,LIMIT,0.20785,3260.6625,0.20785,3260.6625,677.728700625,677.728700625,2023-12-28 17:04:29,1.35545740125,USDT,,deal
****0219,mainAccount,658ddba1e0e1ab00073c3323,2023-12-28 16:33:37,RNDR-USDT,SELL,LIMIT,4.5713,344.7962,4.5713,344.7962,1576.16686906,1576.16686906,2023-12-28 16:37:24,3.15233373812,USDT,,deal
****0219,mainAccount,658ddbf8b98eb7000749fef7,2023-12-28 16:35:04,TOKO-USDT,SELL,LIMIT,0.0015915,145000.0,0.0015915,145000.0,230.7675,230.7675,2023-12-28 16:37:59,0.2307675,USDT,,deal
****0219,mainAccount,658ddc140b9c4b0007a30a5d,2023-12-28 16:35:32,EGLD-USDT,SELL,LIMIT,68.8,3.0,68.8,3.0,206.4,206.4,2023-12-28 16:35:38,0.2064,USDT,,deal
****0219,mainAccount,658ddc38b98eb700074ab06e,2023-12-28 16:36:08,AIOZ-USDT,SELL,LIMIT,0.12582,1500.0,0.126,1500.0,189.0,189.0,2023-12-28 16:36:08,0.378,USDT,,deal
****0219,mainAccount,658ddc53561ac200071e27e2,2023-12-28 16:36:35,SOUL-USDT,SELL,LIMIT,0.19042,563.0,0.19042,563.0,107.20646,107.20646,2023-12-28 17:55:30,0.10720646,USDT,,deal
****0219,mainAccount,658ddca1d76f360007888c0f,2023-12-28 16:37:53,KDA-USDT,SELL,MARKET,0.0,50.0,1.1962,50.0,59.81,59.81,2023-12-28 16:37:53,0.11962,USDT,,deal
****0219,mainAccount,658ddcdf5edc3d0007fc1270,2023-12-28 16:38:55,FLAME-USDT,SELL,MARKET,0.0,1000.0,0.052380207749,1000.0,52.380207749,52.380207749,2023-12-28 16:38:55,0.104760415498,USDT,,deal
****0219,mainAccount,658ddd093a6f2600072f9a1d,2023-12-28 16:39:37,IOI-USDT,SELL,MARKET,0.0,450.0,0.0332052157044444,450.0,14.942347067,14.942347067,2023-12-28 16:39:37,0.029884694134,USDT,,deal
****0219,mainAccount,658ddc7d55645b00070c0876,2023-12-28 16:37:17,RFOX-USDT,SELL,LIMIT,0.015654,6797.1518,0.015654,6797.1518,106.4026142772,106.4026142772,2023-12-29 20:48:56,0.2128052285544,USDT,,deal
